subject;gender;age;palette_order
5993ff51f3bc994da6457fc6;Other;22;blueorange,viridis,blues,jet
5993ff80f3bc994da6457fd7;Male;35;blues,blueorange,jet,viridis
5993ff8af3bc994da6457fde;Male;30;jet,blues,viridis,blueorange
5993ffa7f3bc994da6457ff0;Male;33;viridis,jet,blueorange,blues
5993ffb5f3bc994da6458001;Male;35;blueorange,viridis,blues,jet
5993ffe9f3bc994da6458057;Female;31;blues,blueorange,jet,viridis
5993ffedf3bc994da645805f;Female;33;jet,blues,viridis,blueorange
59940057f3bc994da6458151;Male;32;viridis,jet,blueorange,blues
5994006ef3bc994da645819a;Male;37;blueorange,viridis,blues,jet
59940071f3bc994da64581a3;Female;26;blues,blueorange,jet,viridis
599400bbf3bc994da64582b7;Female;50;jet,blues,viridis,blueorange
59940170f3bc994da6458529;Male;53;blues,blueorange,jet,viridis
599401b5f3bc994da645861e;Male;30;blues,blueorange,jet,viridis
599401caf3bc994da645866f;Female;47;blueorange,viridis,blues,jet
59940254f3bc994da64587f6;Female;33;blueorange,viridis,blues,jet
59940264f3bc994da645881e;Female;31;viridis,jet,blueorange,blues
59940272f3bc994da6458851;Female;28;viridis,jet,blueorange,blues
599409f5f3bc994da6458bf0;Male;40;jet,blues,viridis,blueorange
59941148f3bc994da6458c9d;Male;31;jet,blues,viridis,blueorange
5994bd69f3bc994da6458d4a;Male;32;viridis,jet,blueorange,blues
599df418f3bc994da6458e18;Female;32;viridis,jet,blueorange,blues
599df483f3bc994da6458e55;Male;29;blues,blueorange,jet,viridis
599df49ff3bc994da6458eec;Male;35;blueorange,viridis,blues,jet
599df4b9f3bc994da6458f09;Female;60;viridis,jet,blueorange,blues
599df4c6f3bc994da6458f1c;Female;21;jet,blues,viridis,blueorange
599df4def3bc994da6458f49;Male;25;blues,blueorange,jet,viridis
599df503f3bc994da6458fc2;Male;27;jet,blues,viridis,blueorange
599df59bf3bc994da645919f;Female;29;viridis,jet,blueorange,blues
599df633f3bc994da64593b8;Female;41;jet,blues,viridis,blueorange
599df63cf3bc994da64593c2;Female;49;blues,blueorange,jet,viridis
599df6c4f3bc994da64594ac;Male;26;blueorange,viridis,blues,jet
599df6c5f3bc994da64594af;Male;34;blues,blueorange,jet,viridis
599df6d2f3bc994da64594ce;Male;42;jet,blues,viridis,blueorange
599df6e0f3bc994da64594f6;Female;25;blues,blueorange,jet,viridis
599df747f3bc994da6459679;Male;44;blueorange,viridis,blues,jet
599df7a0f3bc994da64597a7;Male;42;viridis,jet,blueorange,blues
599df90ff3bc994da6459ad6;Male;27;viridis,jet,blueorange,blues
599dfac3f3bc994da6459c1e;Male;40;jet,blues,viridis,blueorange
599dfb22f3bc994da6459c36;Female;25;blues,blueorange,jet,viridis
599dfb28f3bc994da6459c39;Male;33;blueorange,viridis,blues,jet
599dfbd3f3bc994da6459cfc;Female;54;blueorange,viridis,blues,jet
599dfbd7f3bc994da6459d02;Male;49;viridis,jet,blueorange,blues
599dfc68f3bc994da6459ddd;Male;48;jet,blues,viridis,blueorange
599dfc99f3bc994da6459e34;Male;41;jet,blues,viridis,blueorange
599dfcb9f3bc994da6459e8e;Male;39;viridis,jet,blueorange,blues
599dfd9ff3bc994da645a04e;Female;29;jet,blues,viridis,blueorange
599e45a51ad8a620110adf1f;Male;41;blueorange,viridis,blues,jet
599e463f1ad8a620110adf4c;Male;35;blueorange,viridis,blues,jet
599e4eb51ad8a620110ae079;Male;43;viridis,jet,blueorange,blues
599e52ae1ad8a620110ae126;Male;25;blues,blueorange,jet,viridis
599e555b1ad8a620110ae1d3;Male;34;blues,blueorange,jet,viridis
599e5ce51ad8a620110ae280;Male;33;blueorange,viridis,blues,jet
598bab4596949b0ec8752986;Female;27;blueorange,viridis,blues,jet
598bb03396949b0ec8752a2f;Male;28;blues,blueorange,jet,viridis
598bb24296949b0ec8752a99;Male;27;jet,blues,viridis,blueorange
598bb39696949b0ec8752b5a;Male;48;viridis,jet,blueorange,blues
